rank,city,state,2020_census,2010_census,percent_change,land_area_mi,land_area_km,pop_density_mi,pop_density_km,degrees_north,degrees_west
273,Pueblo,Colorado,111876,106595,4.95,55.4,143.5,2019,780,38.26,104.61
274,Lewisville,Texas,111822,95290,17.35,37,95.8,3022,1167,33.04,96.98
275,Miami Gardens,Florida,111640,107167,4.17,18.2,47.1,6134,2368,25.94,80.24
276,Las Cruces,New Mexico,111385,97618,14.1,76.9,199.2,1448,559,32.32,106.78
277,Sugar Land,Texas,111026,78817,40.87,40.5,104.9,2741,1058,29.59,95.61
278,Murrieta,California,110949,103466,7.23,33.6,87,3302,1275,33.57,117.19
279,Ventura[ab],California,110763,106433,4.07,21.9,56.7,5058,1953,34.26,119.25
280,Everett,Washington,110629,103019,7.39,33.2,86,3332,1286,47.95,122.19
281,Temecula,California,110003,100097,9.9,37.3,96.6,2949,1139,33.49,117.13
282,Dearborn,Michigan,109976,98153,12.05,24.2,62.7,4544,1754,42.31,83.21
283,Santa Maria,California,109707,99553,10.2,22.8,59.1,4812,1858,34.93,120.44
284,West Covina,California,109501,106098,3.21,16,41.4,6844,2642,34.05,117.9
285,El Monte,California,109450,113475,3.55,9.6,24.9,11401,4402,34.07,118.02
286,Greeley,Colorado,108795,92889,17.12,48.9,126.7,2225,859,40.41,104.76
287,Sparks,Nevada,108445,90264,20.14,36.4,94.3,2979,1150,39.55,119.73
288,Centennial,Colorado,108418,100377,8.01,29.7,76.9,3650,1410,39.59,104.86
289,Boulder,Colorado,108250,97385,11.16,26.3,68.1,4116,1589,40.02,105.25
290,Sandy Springs,Georgia,108080,93853,15.16,37.7,97.6,2867,1107,33.93,84.36
291,Inglewood,California,107762,109673,1.74,9.1,23.6,11842,4572,33.95,118.34
292,Edison,New Jersey,107588,99967,7.62,30.1,78,3574,1380,40.52,74.41
293,South Fulton,Georgia,107436,,,85.2,220.7,1261,487,33.59,84.67
294,Green Bay,Wisconsin,107395,104057,3.21,45.5,117.8,2360,910,44.52,87.98
295,Burbank,California,107337,103340,3.87,17.3,44.8,6204,2395,34.19,118.32
296,Renton,Washington,106785,90927,17.44,23.5,60.9,4544,1754,47.47,122.19
297,Hillsboro,Oregon,106447,91611,16.19,25.7,66.6,4142,1599,45.52,122.93
298,El Cajon,California,106215,99478,6.77,14.5,37.6,7325,2828,32.8,116.96
299,Tyler,Texas,105995,96900,9.39,57.5,148.9,1843,712,32.31,95.3
300,Davie[ad],Florida,105691,91992,14.89,34.9,90.4,3028,1169,26.07,80.28
301,San Mateo,California,105661,97207,8.7,12.1,31.3,8732,3371,37.56,122.31
302,Brockton,Massachusetts,105643,93810,12.61,21.3,55.2,4960,1920,42.08,71.02
303,Concord,North Carolina,105240,79066,33.1,63.5,164.5,1657,640,35.4,80.6
304,Jurupa Valley[ae],California,105053,94234,11.48,42.9,111.1,2449,946,34,117.46
305,Daly City,California,104901,101123,3.74,7.6,19.7,13803,5329,37.7,122.46
306,Allen,Texas,104627,84246,24.19,26.4,68.4,3963,1530,33.09,96.66
307,Rio Rancho,New Mexico,104046,87521,18.88,103.4,267.8,1006,388,35.29,106.67
308,Rialto,California,104026,99171,4.9,24.1,62.4,4316,1666,34.11,117.38
309,Woodbridge,New Jersey,103639,99585,4.07,23.3,60.3,4448,1717,40.56,74.28
310,South Bend,Indiana,103453,101168,2.26,42,108.8,2463,951,41.67,86.26
311,Spokane Valley,Washington,102976,89755,14.73,37.7,97.6,2731,1054,47.67,117.23
312,Norwalk,California,102773,105549,2.63,9.7,25.1,10595,4091,33.9,118.08
313,Menifee,California,102527,77519,32.26,46.5,120.4,2205,851,33.69,117.19
314,Vacaville,California,102386,92428,10.77,29.9,77.4,3424,1322,38.35,121.97
315,Wichita Falls,Texas,102316,104553,2.14,72,186.5,1421,549,33.9,98.52
316,Davenport,Iowa,101724,99685,2.05,63.8,165.2,1594,615,41.55,90.6
317,Quincy,Massachusetts,101636,92271,10.15,16.6,43,6123,2364,42.25,71
318,Chico,California,101475,86187,17.74,34.1,88.3,2976,1149,39.74,121.83
319,Lynn,Massachusetts,101253,90329,12.09,10.7,27.7,9463,3654,42.47,70.95
320,Lee's Summit,Missouri,101108,91364,10.67,63.9,165.5,1582,611,38.92,94.37
321,New Bedford,Massachusetts,101079,95072,6.32,20,51.8,5054,1951,41.64,70.93
322,Federal Way,Washington,101030,89306,13.13,22.3,57.8,4530,1750,47.32,122.35
323,Clinton,Michigan,100513,96796,3.84,28.1,72.8,3577,1381,42.59,82.92
324,Edinburg,Texas,100243,77100,30.02,44.7,115.8,2243,866,26.3,98.16
325,Nampa,Idaho,100200,81557,22.86,33.5,86.8,2991,1155,43.57,116.56
326,Roanoke,Virginia,100011,97032,3.07,42.5,110.1,2353,908,37.27,79.93
